92;92
118;118
152;152
161;161
178;178
193;193
202;202
207;207
212;212
217;217
228;228
237;237
244;244
271;271
314;314
332;332
344;344
344;344
345;345
352;352
370;370
389;389
395;395
395;395
402;402
408;408
422;422
436;436
441;441
452;452
458;458
463;463
477;477
492;492
510;510
529;529
549;549
559;559
583;583
605;605
629;629
652;652
682;682
717;717
770;770
822;822
865;865
904;904
936;936
963;963
987;987
1011;1011
1031;1031
1053;1053
1073;1073
1094;1094
1114;1114
1133;1133
1153;1153
1175;1175
1195;1195
1216;1216
1235;1235
1254;1254
1272;1272
1294;1294
1314;1314
1334;1334
1357;1357
1379;1379
1400;1400
1420;1420
1440;1440
1459;1459
1476;1476
1499;1499
1519;1519
1537;1537
1554;1554
1592;1592
1623;1623
1652;1652
1701;1701
1747;1747
1792;1792
1834;1834
1880;1880
1923;1923
1966;1966
2006;2006
2044;2044
2079;2079
2111;2111
2142;2142
2173;2173
2202;2202
2229;2229
2254;2254
2279;2279
2303;2303
2323;2323
2341;2341
2360;2360
2378;2378
2398;2398
2420;2420
2442;2442
2463;2463
2492;2492
2520;2520
2547;2547
2574;2574
2602;2602
2628;2628
2654;2654
2681;2681
2706;2706
2735;2735
2764;2764
2792;2792
2819;2819
2849;2849
2876;2876
2903;2903
2931;2931
2961;2961
2990;2990
3013;3013
3040;3040
3062;3062
3092;3092
3123;3123
3150;3150
3179;3179
3211;3211
3249;3249
3294;3294
3343;3343
3392;3392
3443;3443
3491;3491
3543;3543
3593;3593
3648;3648
3712;3712
3773;3773
3836;3836
3896;3896
3961;3961
4033;4033
4103;4103
4170;4170
4245;4245
4327;4327
4408;4408
4493;4493
4577;4577
4658;4658
4739;4739
4828;4828
4923;4923
5023;5023
5131;5131
5245;5245
5363;5363
5476;5476
5594;5594
5709;5709
5826;5826
5932;5932
6042;6042
6159;6159
6275;6275
6391;6391
6503;6503
6613;6613
6721;6721
6838;6838
6964;6964
7082;7082
7197;7197
7312;7312
7422;7422
7529;7529
7645;7645
7765;7765
7890;7890
8013;8013
8137;8137
8263;8263
8384;8384
8504;8504
8622;8622
8745;8745
8870;8870
8996;8996
9122;9122
9257;9257
9394;9394
9529;9529
9659;9659
9793;9793
9934;9934
10073;10073
10213;10213
10350;10350
10491;10491
10630;10630
10777;10777
10927;10927
11079;11079
11237;11237
11390;11390
11540;11540
11691;11691
11848;11848
12014;12014
12186;12186
12355;12355
12517;12517
12679;12679
12848;12848
13020;13020
13193;13193
13368;13368
13545;13545
13721;13721
13900;13900
14081;14081
14266;14266
14453;14453
14639;14639
14829;14829
15025;15025
15226;15226
15428;15428
15628;15628
15831;15831
16036;16036
16242;16242
16450;16450
16658;16658
16870;16870
17081;17081
17290;17290
17497;17497
17703;17703
17909;17909
18119;18119
18331;18331
18546;18546
18763;18763
18981;18981
19199;19199
19415;19415
19634;19634
19854;19854
20073;20073
20293;20293
20511;20511
20727;20727
20940;20940
21141;21141
21343;21343
21542;21542
21732;21732
21922;21922
22111;22111
22302;22302
22494;22494
22684;22684
22877;22877
23071;23071
23265;23265
23458;23458
23648;23648
23838;23838
24027;24027
24212;24212
24397;24397
24581;24581
24763;24763
24941;24941
25115;25115
25278;25278
25415;25415
25539;25539
25663;25663
25753;25753
25844;25844
25937;25937
26032;26032
26129;26129
26226;26226
26322;26322
26419;26419
26515;26515
26613;26613
26712;26712
26810;26810
26908;26908
27005;27005
27101;27101
27195;27195
27287;27287
27379;27379
27473;27473
27566;27566
27660;27660
27757;27757
27852;27852
27947;27947
28038;28038
28130;28130
28216;28216
28296;28296
28371;28371
28447;28447
28523;28523
28598;28598
28672;28672
28748;28748
28826;28826
28900;28900
28972;28972
29045;29045
29118;29118
29193;29193
29272;29272
29353;29353
29433;29433
29511;29511
29595;29595
29681;29681
29766;29766
29851;29851
29938;29938
30023;30023
30104;30104
30184;30184
30264;30264
30346;30346
30431;30431
30514;30514
30594;30594
30672;30672
30750;30750
30827;30827
30905;30905
30981;30981
31058;31058
31135;31135
31214;31214
31290;31290
31368;31368
31442;31442
31516;31516
31591;31591
31662;31662
31732;31732
31801;31801
31869;31869
31937;31937
